pdf_filename,email_title,category,summary_text,promo_code,expiry_date
../ExtractedEmails/Email44.pdf,Help me and win Apple AirPods 4!,Everything Else,Take a 3-minute survey about Sunday scaries for a chance to win Apple AirPods 4. The survey ends on November 11th.,No,November 11th
../ExtractedEmails/Email45.pdf,Just Released: The Ultimate 2025 AI Events Calendar You Can't Afford to Miss!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email46.pdf,A journey of love with Anuv Jain’s music ❤️,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email47.pdf,Jodhpur is in season ❤️,Offers,"Fly to Jodhpur from ₹3,500. Book your trip now.",No,No
../ExtractedEmails/Email48.pdf,New Direct Flights to the Andamans – Fares Starting ₹6414!,Offers,"Direct daily flights to Port Blair (Sri Vijaya Puram) from Bengaluru and Kolkata starting December 1, 2024. Flights from Kolkata to Port Blair start on December 15, 2024.",No,No
../ExtractedEmails/Email49.pdf,Your latest Internship recommendations from Prosple🚀,Reminder/Alerts,Internship recommendation for Communication Affairs Intern at United Nations India in New Delhi. Applications close on 30 November 2024.,No,No
../ExtractedEmails/Email50.pdf,"Ayush, we’ve got a new challenge for you 👀",Everything Else,"Earn the Brainiac badge by completing four tasks: create a study guide, create a practice test, use Learn, and use Flashcards. This offer expires on 9 November 2024 at 06:59 UTC.",No,9 November 2024
../ExtractedEmails/Email51.pdf,Land More Interviews with a Tailored Resume (Tips Inside),Everything Else,"AI Resume Writer helps you create a polished resume that matches the job requirements and is ATS-compatible. It analyses your resume, identifies missing skills, and generates a new resume based on your skills and experience.",No,No
../ExtractedEmails/Email52.pdf,30 *Paid* Summer 2025 Internships!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email53.pdf,"Ayush, how’s your Diwali going?",Everything Else,TechVarsity offers a 2-year AI-infused Placement CS program with curriculum assistance. Book a free webinar.,No,No
../ExtractedEmails/Email54.pdf,Extra time for up to 20% off 🕙,Offers,"Save up to 20% on IndiGo flights booked directly on golndiGo.in. Offer valid till 5th November, 2024.",No,"5th November, 2024"
../ExtractedEmails/Email55.pdf,"Watch hundreds of films, programmes and documentaries today.",Offers,Netflix offers plans starting at ₹149/month. Sign up now.,No,No
../ExtractedEmails/Email56.pdf,It’s a developer’s dream: new Microsoft training,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email57.pdf,Keep your PDFs safe from prying eyes,Everything Else,Protect your PDFs with passwords using Acrobat Pro to share them securely.,No,No
../ExtractedEmails/Email58.pdf,Let's Land your Next Role! New Jobs are Waiting!,Everything Else,Jobright is a job search platform that uses AI to help you find and apply for jobs. It also has features to connect with other users and get career advice.,No,No
../ExtractedEmails/Email59.pdf,The Great Indian Hiring Hackathon 2024 is Here – Join Now!,Events,"The Great Indian Hiring Hackathon 2024, organized by AIM’s GenAI startup MachineHack, is back. Participate in the hackathon for a chance to connect with top companies and get noticed by recruiters. The hackathon begins on November 1, 2024, and ends on January 26, 2025.",No,No
../ExtractedEmails/Email60.pdf,"Hi, Ayush Raina! We’ve handpicked recommendations just for you!",Everything Else,"Get free mentorship sessions from experienced professionals covering CV review to mock interviews. Also, practice with 8 mocks and 550+ MCQs for subjects like Financial Accounting, Macro-Economics, Financial Management, and Banking Management.",No,No
../ExtractedEmails/Email61.pdf,Up to 20% off continues 🏷️,Offers,"Get up to 20% off on IndiGo flights for travel between October 27th and November 5th, 2024. Book directly on goIndiGo.in",No,No
../ExtractedEmails/Email62.pdf,Good news! Your document has been published 🌟,Everything Else,You have been granted Studocu Premium access for sharing your knowledge with other students.,No,No
../ExtractedEmails/Email63.pdf,"Make ""Science"" easy again (or finally 😮‍💨)",Everything Else,"Studocu offers 29 documents related to ""Science"". It suggests following the course, exploring the course page, and using the chat for further help.",No,No
../ExtractedEmails/Email64.pdf,"Career Brew (🎓☕) - 1st Nov Jobs Digest You can't miss - 75 Hottest Jobs, 30 Paid Internship Jobs.",N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email66.pdf,Explore advanced features for enhanced collaboration.,Offers,"Upgrade to Zoom Workplace Pro and unlock advanced communication & collaboration features, including unlimited meetings, cloud recording storage, automated captions, AI Companion, Clips Plus, and free premium apps.",No,No
../ExtractedEmails/Email67.pdf,"There's more to learn about social media, Ayush. 💖",Offers,Canva is offering new animation effects and Disney themed templates. You can also try Canva Pro for free.,No,No
../ExtractedEmails/Email68.pdf,Your room with a beach view is ready.,Offers,"Book hotels in Goa on golndiGo.in and get up to 30% off. Use code GOGOA. 7 lakh+ hotels, free cancellation. Book now.",GOGOA,No
../ExtractedEmails/Email69.pdf,👩‍💻 Desktop & Mobile Apps [5/5],N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email70.pdf,🪭 Toggle Project Views  [4/5],N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email71.pdf,The new Microsoft credentials that developers want,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email72.pdf,"Ayush Raina, Enhance Your Uploaded Resume with 20% Off!",Offers,Get 20% off on KudosWall's AI Resume Builder. Use code KWKDQO120 at the Upgrade screen.,KWKDQO120,In 2 days
../ExtractedEmails/Email73.pdf,😮 Pick only 6 players,Everything Else,"Join Hong Kong Sixes Fantasy Cricket with 6 overs per innings, 2 player types and 6 players per team. Get bonus points for hitting back-to-back sixes or fours.",No,No
../ExtractedEmails/Email74.pdf,30 Internships You Can’t Afford to Miss Today! 💼,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email76.pdf,Diyas? 🪔 Lit ✅ Weekend Plans? 👀 Lit ✅,Events,Music festival featuring various DJs in Bengaluru on November 9-10 at Jayamahal Palace.,No,No
../ExtractedEmails/Email77.pdf,Illuminate your Diwali with this Cricket Thriller!,Everything Else,Play Fantasy Cricket contests and win rewards up to ₹40 Lakh.  The ST-W vs HB-W match starts today at 1:45 PM.,No,No
../ExtractedEmails/Email78.pdf,This Diwali...🪔,Offers,"Fly to Ayodhya this Diwali with fares starting at ₹2,998.",No,No
../ExtractedEmails/Email79.pdf,📩 Your 30+ Internships Are Here – Apply Now!,N/A,The PDF document is too large to process.,N/A,N/A
../ExtractedEmails/Email80.pdf,Master your meetings with Zoom recordings today!,Everything Else,Zoom email explaining how to record meetings and highlighting the benefits of upgrading to Zoom Workplace Pro for cloud storage and automatic recording.,No,No
../ExtractedEmails/Email81.pdf,Vacations are better with the fam,Offers,"Get up to 25% off on hotels in Krabi, Goa, Jaipur, Kochi, Dubai, Singapore, Mussoorie, Istanbul, Shimla, Bali, Nainital with code STAYNSAVE. Book on golndiGo.in.",STAYNSAVE,No
../ExtractedEmails/Email82.pdf,"From teacher to entrepreneur, find out how Lisa achieved her goals",Offers,Get a head start on an MSc in Innovation and Entrepreneurship from HEC Paris by completing University Certificates from Coursera. These certificates are credit eligible towards the MSc degree. Learn at your own pace with the flexible online format.,No,No
